,TYPE,WB_A3,REGION_UN,SUBREGION,REGION_WB,WB_NAME
205,Dependency,JEY,Europe,Northern Europe,Europe & Central Asia,Jersey (UK)
206,Dependency,GGY,Europe,Northern Europe,Europe & Central Asia,Guernsey (UK)
207,Dependency,IMY,Europe,Northern Europe,Europe & Central Asia,Isle of Man (UK)
208,Dependency,FRO,Europe,Northern Europe,Europe & Central Asia,Faroe Islands (Den.)
209,Dependency,IOT,Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,British Indian Ocean Territory (UK)
210,Sovereign country,SGP,Asia,South-Eastern Asia,East Asia & Pacific,Singapore
211,Dependency,NFK,Oceania,Australia and New Zealand,East Asia & Pacific,Norfolk Island (Aus.)
212,Dependency,COK,Oceania,Polynesia,East Asia & Pacific,Cook Islands (NZ)
213,Sovereign country,TON,Oceania,Polynesia,East Asia & Pacific,Tonga
214,Dependency,WLF,Oceania,Polynesia,East Asia & Pacific,Wallis-et-Futuna (Fr.)
215,Sovereign country,WSM,Oceania,Polynesia,East Asia & Pacific,Samoa
216,Sovereign country,SLB,Oceania,Melanesia,East Asia & Pacific,Solomon Islands
217,Sovereign country,TUV,Oceania,Polynesia,East Asia & Pacific,Tuvalu
218,Sovereign country,MDV,Asia,Southern Asia,South Asia,Maldives
219,Sovereign country,NRU,Oceania,Micronesia,East Asia & Pacific,Nauru
220,Sovereign country,FSM,Oceania,Micronesia,East Asia & Pacific,"Micronesia, Federated States of"
221,Dependency,SGS,Seven seas (open ocean),Seven seas (open ocean),Antarctica,South Georgia and South Sandwich Islands (UK)
222,Dependency,FLK,Americas,South America,Latin America & Caribbean,Falkland Islands (UK)/Islas Malvinas
223,Sovereign country,VUT,Oceania,Melanesia,East Asia & Pacific,Vanuatu
224,Dependency,NIU,Oceania,Polynesia,East Asia & Pacific,Niue (NZ)
225,Dependency,ASM,Oceania,Polynesia,East Asia & Pacific,American Samoa (US)
226,Sovereign country,PLW,Oceania,Micronesia,East Asia & Pacific,Palau
227,Dependency,GUM,Oceania,Micronesia,East Asia & Pacific,Guam (US)
228,Dependency,MNP,Oceania,Micronesia,East Asia & Pacific,Northern Mariana Islands (US)
229,Sovereign country,BHR,Asia,Western Asia,Middle East & North Africa,Bahrain
230,Dependency,FRA-OT,Americas,Central America,Latin America & Caribbean,Clipperton Island (Fr.)
231,Dependency,MAC,Asia,Eastern Asia,East Asia & Pacific,"Macau (SAR, China)"
232,Dependency,BES,Europe,Western Europe,Europe & Central Asia,Bonaire (Neth.)
233,Dependency,BES,Europe,Western Europe,Europe & Central Asia,Sint Eustatius (Neth.)
234,Dependency,BES,Europe,Western Europe,Europe & Central Asia,Saba (Neth.)
235,Sovereign country,NLD,Europe,Western Europe,Europe & Central Asia,Netherlands
236,Dependency,CCK,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Cocos (Keeling) Islands (Aus.)
237,Dependency,CXR,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Christmas Island (Aus.)
238,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Johnston Atoll (US)
239,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Jarvis Island (US)
240,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Baker Island (US)
241,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Howland Island (US)
242,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Wake Island (US)
243,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Midway Islands (US)
244,Dependency,USA-OT,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Navassa Island (US)
245,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Palmyra Atoll (US)
246,Dependency,UMI,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,Kingman Reef (US)
247,Dependency,TKL,Oceania,Australia and New Zealand,East Asia & Pacific,Tokelau (NZ)
248,Sovereign country,NZL,Oceania,Australia and New Zealand,East Asia & Pacific,New Zealand
249,Sovereign country,CHN,Asia,Eastern Asia,East Asia & Pacific,China
250,Sovereign country,TWN,Asia,Eastern Asia,East Asia & Pacific,Taiwan
251,Sovereign country,FRA,Europe,Western Europe,Europe & Central Asia,France
252,Dependency,FRA-OT,Other,Other,Europe & Central Asia,France Oversees Territories
0,Disputed,XXX,Asia,Eastern Asia,East Asia & Pacific,Aksai Chin
1,Disputed,XXX,Asia,Southern Asia,South Asia,Arunachal Pradesh
2,Disputed,ESH,Africa,Northern Africa,Middle East & North Africa,Western Sahara
3,Disputed,XXX,Africa,Northern Africa,Sub-Saharan Africa,Abyei
4,Disputed,XXX,Asia,Southern Asia,South Asia,Demchok
5,Disputed,XXX,Asia,Western Asia,Europe & Central Asia,U.N. Buffer Zone in Cyprus
